userid,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14
1,2,1,1,1,1,0,1,1,1,0,1,0,1,1
2,1,1,1,0,0,0,0,1,1,1,0,1,1,0
3,1,1,4,0,0,0,1,0,0,1,0,1,1,1
4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
5,1,0,0,0,1,2,0,0,0,2,0,0,0,NA
6,0,2,0,0,0,0,2,2,0,0,2,3,0,0
7,0,0,0,1,1,1,0,0,1,0,NA,NA,NA,NA
8,1,0,0,0,1,1,0,0,0,1,1,1,3,1
9,0,1,1,0,2,1,1,1,1,1,0,0,0,NA
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,1,1,0,2,1,1,0,1,0,3,2,2
12,2,0,2,1,0,0,2,1,2,0,0,1,1,NA
13,0,0,0,4,1,1,0,0,0,1,1,1,0,2
14,1,1,1,4,0,1,3,2,1,2,2,1,0,0
15,0,2,0,2,0,0,0,0,0,0,NA,NA,NA,NA
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,1,0,0,0,0,1,1,0,0,2,0,2,0
19,2,1,1,1,2,2,3,0,0,3,2,0,0,1
20,0,2,0,0,3,1,0,0,0,0,0,0,0,0
21,3,0,1,0,3,0,2,1,0,0,NA,NA,NA,NA
22,1,2,1,3,0,1,0,1,0,1,NA,NA,NA,NA
23,0,0,2,1,1,0,2,2,2,0,1,0,3,0
24,0,0,0,0,0,0,0,0,1,0,0,0,1,1
25,1,0,2,1,1,2,2,2,2,2,0,0,1,3
26,0,1,2,0,0,2,0,0,1,1,0,1,2,1
27,0,2,1,0,1,2,0,0,0,0,1,0,0,0
28,0,0,0,2,0,1,0,0,0,0,0,0,0,0
29,0,2,0,0,0,1,1,0,1,0,0,0,0,0
30,0,1,0,0,0,0,0,1,3,2,0,0,0,0
31,1,0,4,2,0,0,0,1,1,0,0,0,0,NA
32,2,1,0,1,3,0,1,2,0,2,NA,NA,NA,NA
33,0,0,0,3,0,1,1,0,1,2,0,3,1,0
34,0,1,0,1,1,1,0,1,1,3,0,0,0,1
35,2,1,2,0,1,1,1,0,0,5,NA,NA,NA,NA
36,0,0,0,0,0,0,0,0,0,0,2,2,0,0
37,0,1,0,0,0,0,1,2,1,1,0,0,0,NA
38,0,0,0,2,1,0,0,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,2,0,1,1,0,0,0,0,2,0,1,2,0
41,1,1,0,2,1,2,0,1,2,2,0,0,2,NA
42,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA
43,0,0,0,0,1,0,0,2,0,0,0,0,0,0
44,0,0,0,0,0,0,1,0,1,0,0,0,1,0
45,0,0,0,0,0,2,0,0,1,3,0,0,0,0
46,2,0,3,2,1,0,3,0,0,1,0,1,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1,2,0,1,3,1,4,1,1,0,NA,NA,NA,NA
49,0,0,1,5,2,1,3,1,1,1,0,0,2,1
50,1,0,0,3,0,0,0,1,0,0,0,0,NA,NA
51,1,0,1,1,2,2,0,2,1,3,NA,NA,NA,NA
52,0,1,1,2,1,1,1,1,1,0,NA,NA,NA,NA
53,0,1,3,0,2,2,1,1,2,1,NA,NA,NA,NA
54,0,0,2,0,0,0,0,0,0,0,0,0,NA,NA
55,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
56,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
57,1,0,0,1,1,0,0,2,2,1,1,0,0,2
58,1,1,1,1,0,0,2,1,1,3,NA,NA,NA,NA
59,0,1,1,1,1,0,0,3,1,0,0,1,1,1
60,1,0,1,0,0,0,2,1,0,0,NA,NA,NA,NA
61,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
62,0,0,0,1,1,0,1,2,2,0,2,0,0,0
63,0,0,0,0,1,0,0,2,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
66,3,2,1,1,1,2,1,1,2,0,3,1,1,2
67,2,0,0,0,3,1,0,0,0,2,NA,NA,NA,NA
68,4,0,4,0,5,0,1,1,2,2,NA,NA,NA,NA
69,0,1,1,2,0,0,1,0,0,2,0,0,0,0
70,0,0,0,0,1,0,1,2,3,0,NA,NA,NA,NA
71,0,0,2,2,2,0,0,0,0,2,NA,NA,NA,NA
72,0,0,0,0,1,0,3,0,0,0,0,0,0,0
73,1,0,2,0,1,0,3,3,1,0,NA,NA,NA,NA
74,1,1,1,1,1,1,1,1,3,0,0,0,0,0
75,0,2,2,0,1,0,0,0,0,0,0,0,0,NA
76,0,0,1,1,1,1,1,0,0,0,NA,NA,NA,NA
77,0,1,1,0,0,0,1,1,0,1,0,3,0,1
78,0,0,0,0,3,0,0,0,1,0,0,NA,NA,NA
79,0,0,0,2,1,0,0,0,4,0,0,1,1,0
80,3,0,1,3,1,0,3,0,1,2,1,0,0,3
81,0,1,0,2,1,1,0,0,0,0,NA,NA,NA,NA
82,2,2,0,1,0,2,1,1,0,0,1,1,0,0
83,4,0,1,0,1,1,0,0,0,1,0,0,0,0
84,2,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA
85,0,0,1,1,0,2,0,0,0,0,NA,NA,NA,NA
86,3,1,0,0,1,2,2,0,2,0,1,4,1,0
87,2,0,2,2,0,3,0,1,0,0,1,1,1,0
88,0,1,0,0,3,0,1,0,1,0,1,0,2,0
89,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA
90,2,0,0,0,0,3,0,0,0,0,0,0,0,0
91,1,0,0,0,2,0,0,0,2,0,0,0,1,0
