userid,age_range,gender,metro_area
1,25 to 34,female,NYC
2,25 to 34,female,LA
3,45 to 54,female,SF
4,25 to 34,female,NYC
5,25 to 34,female,CHI
6,25 to 34,prefer not to answer,None of above
7,25 to 34,female,None of above
8,25 to 34,male,PHL
9,25 to 34,female,HOU
10,18 to 24,female,NYC
11,18 to 24,female,LA
12,25 to 34,female,SF
13,55+,female,LA
14,35 to 44,non-binary,HOU
15,25 to 34,female,SF
16,35 to 44,female,SF
17,35 to 44,male,SF
18,45 to 54,prefer not to answer,DC
19,45 to 54,female,SEA
20,25 to 34,female,PHL
21,25 to 34,male,None of above
22,25 to 34,male,SEA
23,25 to 34,female,SF
24,25 to 34,female,LA
25,35 to 44,female,LA
26,25 to 34,male,DC
27,35 to 44,male,None of above
28,35 to 44,female,SEA
29,25 to 34,male,SF
30,25 to 34,female,None of above
31,25 to 34,female,None of above
32,25 to 34,female,SEA
33,25 to 34,prefer not to answer,BOS
34,25 to 34,non-binary,None of above
35,35 to 44,male,LA
36,25 to 34,female,DC
37,25 to 34,male,LA
38,25 to 34,female,None of above
39,25 to 34,female,ATL
40,25 to 34,female,None of above
41,18 to 24,female,SF
42,25 to 34,female,CHI
43,25 to 34,female,LA
44,25 to 34,prefer not to answer,SEA
45,45 to 54,female,LA
46,25 to 34,prefer not to answer,DC
47,25 to 34,non-binary,LA
48,25 to 34,female,HOU
49,35 to 44,male,SEA
50,25 to 34,prefer not to answer,SF
51,25 to 34,male,SEA
52,18 to 24,female,CHI
53,35 to 44,female,LA
54,25 to 34,female,NYC
55,25 to 34,prefer not to answer,CHI
56,25 to 34,prefer not to answer,CHI
57,45 to 54,male,SF
58,25 to 34,female,SF
59,45 to 54,female,LA
60,35 to 44,female,LA
61,25 to 34,female,LA
62,45 to 54,female,DC
63,25 to 34,female,None of above
64,55+,male,SEA
65,25 to 34,female,HOU
66,25 to 34,female,None of above
67,25 to 34,female,SF
68,35 to 44,prefer not to answer,LA
69,35 to 44,female,HOU
70,25 to 34,female,PHL
71,45 to 54,female,None of above
72,25 to 34,female,LA
73,25 to 34,male,NYC
74,25 to 34,female,LA
75,25 to 34,male,None of above
76,25 to 34,female,DC
77,25 to 34,male,SF
78,25 to 34,female,HOU
79,18 to 24,female,None of above
80,25 to 34,female,SF
81,25 to 34,prefer not to answer,None of above
82,35 to 44,female,SF
83,25 to 34,prefer not to answer,NYC
84,45 to 54,female,SF
85,25 to 34,male,NYC
86,25 to 34,prefer not to answer,SEA
87,25 to 34,female,NYC
88,25 to 34,female,None of above
89,25 to 34,male,PHL
90,25 to 34,male,SF
91,25 to 34,prefer not to answer,SF
92,25 to 34,prefer not to answer,CHI
93,45 to 54,female,DC
94,18 to 24,male,SF
95,25 to 34,female,SEA
96,25 to 34,female,DC
97,25 to 34,male,LA
98,35 to 44,female,SEA
99,25 to 34,female,HOU
100,25 to 34,female,SF
101,25 to 34,male,LA
102,25 to 34,female,SEA
